id,normalized_name,gender
1395,voice 1,
1396,voice 2,
1397,voice 3,
1398,voice 4,
1399,congregation,
1400,ernie ford,
1401,carter,
1402,gomer,
1404,saxophone,
1405,mr clean-style character,
1406,goofy recording,
1407,station owner,
1408,dj3000,
1409,arboretum guy,
1410,small kid,
1411,medium-sized kid,
1412,kids mother,
1414,grizzled guy,
1415,wildlife man,
1416,ivory dealer,
1417,speaker box,
1418,game show man,
1403,bill clinton,m
1337,james woods,m
1524,jessica,f
1370,stillwater,m
1333,technician,m
1419,baby burns,
1420,teenage burns,
1421,greenpeace hippie 1,
1422,greenpeace hippie 2,
1423,lee majors,
1424,street urchin,
1425,elf,
1426,deprogrammer,
1427,marge,
1428,lisa,
1429,homer actor,
1430,marge actress,
1431,lisa actress,
1432,baby bart,
1433,class,
1434,leopold,
1436,hayseed 1,
1437,hayseed 2,
1438,flanderss beatnik dad,
1439,private,
1440,rowdy soldier,
1441,huck,
1442,freddy,
1443,lincoln hobo,
1445,various quimbys,
1446,french waiter,
1447,quimbys lawyer,
1448,lunchlady bart,
1449,jimbo jr,
1450,jurors,
1451,monkeys,
1453,grampas brain,
1454,generation x guy,
1455,nelson apparition,
1456,voice inside cake,
1457,kaiser wilhelm guy,
1458,administrator,
1459,squeaky-voiced teenager,
1460,smitherss wife,
1461,carls wife,
1462,snowball ii,
1463,musician,
1464,another man,
1465,amish man,
1466,mob of teenagers,
1467,last teenager,
1468,a dozen little girls,
1469,george,
1470,stewart character,
1471,ravi,
1472,english boy,
1473,police dept machine,
1474,jimmy stewart character,
1475,swashbuckler,
1477,fbi 1,
1478,fbi 2,
1479,professor taylor,
1480,englishman,
1481,beekeeper 1,
1482,beekeeper 2,
1483,��ter,
1484,sherry,
1485,various kids,
1486,radio preacher,
1487,2nd radio preacher,
1488,3rd radio preacher,
1489,engineer,
1490,waiter 1,
1491,childcare worker,
1492,little kid,
1493,mother 1,
1494,childcare supervisor,
1495,pinitchio,
1496,technician 3,
1497,loud speaker,
1498,technician 4,
1499,french ticket taker,
1500,jingle singers,
1502,chinese principal 1,
1503,chinese principal 2,
1504,dr demento,
1505,dr dememto,
1506,protesters,
1507,others,
1509,big moose,
1510,scary announcer,
1511,kindergarten teacher,
1512,fred flintstone,
1513,shadowy figure,
1514,spectators,
1515,prisoner 1,
1516,prisoner 2,
1517,groundskeeper willies brain,
1518,chorus,
1519,mr peabody,
1520,sherman,
1521,sloth,
1522,kid behind glass,
1523,jewish man,
1435,luigi,m
1452,old jewish man,m
1501,birch barlow,m
1444,auctioneer,m
1476,allison,f
1525,trucker 1,
1526,trucker 2,
1527,library boy,
1528,various congregation members,
1529,car,
1530,car 3,
1531,news announcer,
1532,weatherman,
1533,gym teacher,
1534,female coach,
1535,justice,
1536,running man,
1537,hockey announcer,
1538,ashley,
1539,pa,
1540,german gummy salesman,
1541,heavy woman,
1542,deep voice,
1543,godfrey,
1544,rock bottom announcer,
1545,crying woman,
1546,female host,
